split_index,test_start,test_end,regime,return_period,threshold,net_return,sharpe,max_drawdown,win_rate,funding_cost,gross_return,benchmark_return,excess_return,funding_drag_ratio,bar_count,avg_portfolio_heat,heat_cap_applications
3,2022-09-24T00:00:00,2022-12-23T00:00:00,all,20,0.03,0.284121,2.0813,0.172278,0.1185,0.0,0.0,-2.16282,2.446941,0.0,540,0.084211,0
3,2022-09-24T00:00:00,2022-12-23T00:00:00,all,40,0.0,0.202376,1.3225,0.150714,0.1444,0.0,0.0,-2.16282,2.365195,0.0,540,0.072978,0
3,2022-09-24T00:00:00,2022-12-23T00:00:00,all,40,0.03,0.31211,2.216,0.110627,0.1204,0.0,0.0,-2.16282,2.47493,0.0,540,0.075752,0
4,2022-12-23T00:00:00,2023-03-23T00:00:00,all,20,0.0,0.956804,3.6711,0.113004,0.2593,0.0,0.0,2.258666,-1.301862,0.0,540,0.065345,0
4,2022-12-23T00:00:00,2023-03-23T00:00:00,all,20,0.03,0.993246,3.8488,0.142025,0.2444,0.0,0.0,2.258666,-1.26542,0.0,540,0.067163,0
4,2022-12-23T00:00:00,2023-03-23T00:00:00,all,40,0.0,0.726301,3.0879,0.171904,0.2519,0.0,0.0,2.258666,-1.532366,0.0,540,0.062272,0
4,2022-12-23T00:00:00,2023-03-23T00:00:00,all,40,0.03,0.873557,3.7168,0.113004,0.237,0.0,0.0,2.258666,-1.385109,0.0,540,0.062838,0
5,2023-03-23T00:00:00,2023-06-21T00:00:00,all,20,0.0,0.427138,2.8948,0.118903,0.2593,0.0,0.0,-0.570254,0.997392,0.0,540,0.054406,0
5,2023-03-23T00:00:00,2023-06-21T00:00:00,all,20,0.03,0.656293,4.6814,0.074129,0.1704,0.0,0.0,-0.570254,1.226548,0.0,540,0.057388,0
5,2023-03-23T00:00:00,2023-06-21T00:00:00,all,40,0.0,0.06336,0.3927,0.218151,0.2278,0.0,0.0,-0.570254,0.633614,0.0,540,0.053946,0
5,2023-03-23T00:00:00,2023-06-21T00:00:00,all,40,0.03,0.177524,1.179,0.147527,0.1833,0.0,0.0,-0.570254,0.747778,0.0,540,0.056193,0
6,2023-06-21T00:00:00,2023-09-19T00:00:00,all,20,0.0,0.45919,2.2874,0.118799,0.1852,0.0,0.0,-0.306208,0.765398,0.0,540,0.05271,0
6,2023-06-21T00:00:00,2023-09-19T00:00:00,all,20,0.03,0.739278,3.5456,0.081082,0.1222,0.0,0.0,-0.306208,1.045486,0.0,540,0.06832,0
6,2023-06-21T00:00:00,2023-09-19T00:00:00,all,40,0.0,0.24947,1.271,0.142746,0.1333,0.0,0.0,-0.306208,0.555678,0.0,540,0.055341,0
6,2023-06-21T00:00:00,2023-09-19T00:00:00,all,40,0.03,0.347199,1.7026,0.150382,0.0944,0.0,0.0,-0.306208,0.653407,0.0,540,0.066836,0
7,2023-09-19T00:00:00,2023-12-18T00:00:00,all,20,0.0,0.919368,5.1698,0.123498,0.3259,0.0,0.0,2.395024,-1.475656,0.0,540,0.042458,0
7,2023-09-19T00:00:00,2023-12-18T00:00:00,all,20,0.03,1.030941,5.3613,0.120815,0.2889,0.0,0.0,2.395024,-1.364083,0.0,540,0.046461,0
7,2023-09-19T00:00:00,2023-12-18T00:00:00,all,40,0.0,0.656437,3.9909,0.087683,0.3296,0.0,0.0,2.395024,-1.738587,0.0,540,0.04217,0
7,2023-09-19T00:00:00,2023-12-18T00:00:00,all,40,0.03,0.746254,4.2284,0.095469,0.3,0.0,0.0,2.395024,-1.64877,0.0,540,0.044645,0
8,2023-12-18T00:00:00,2024-03-17T00:00:00,all,20,0.0,0.827449,3.8373,0.157127,0.3519,0.0,0.0,1.497889,-0.67044,0.0,540,0.046262,0
8,2023-12-18T00:00:00,2024-03-17T00:00:00,all,20,0.03,0.895129,4.0587,0.16351,0.3222,0.0,0.0,1.497889,-0.602761,0.0,540,0.047022,0
8,2023-12-18T00:00:00,2024-03-17T00:00:00,all,40,0.0,0.490451,2.2649,0.183218,0.3259,0.0,0.0,1.497889,-1.007438,0.0,540,0.046473,0
8,2023-12-18T00:00:00,2024-03-17T00:00:00,all,40,0.03,0.532797,2.5104,0.180086,0.3,0.0,0.0,1.497889,-0.965092,0.0,540,0.046606,0
9,2024-03-17T00:00:00,2024-06-15T00:00:00,all,20,0.0,0.396497,2.3501,0.106745,0.213,0.0,0.0,-1.097655,1.494151,0.0,540,0.052543,0
9,2024-03-17T00:00:00,2024-06-15T00:00:00,all,20,0.03,0.554577,3.5681,0.109337,0.1574,0.0,0.0,-1.097655,1.652232,0.0,540,0.055007,0
9,2024-03-17T00:00:00,2024-06-15T00:00:00,all,40,0.0,0.332143,2.0414,0.113565,0.1741,0.0,0.0,-1.097655,1.429798,0.0,540,0.051718,0
9,2024-03-17T00:00:00,2024-06-15T00:00:00,all,40,0.03,0.264843,1.7938,0.112372,0.1222,0.0,0.0,-1.097655,1.362497,0.0,540,0.052586,0
10,2024-06-15T00:00:00,2024-09-13T00:00:00,all,20,0.0,0.570137,2.9542,0.113963,0.2481,0.0,0.0,-0.419785,0.989921,0.0,540,0.056716,0
10,2024-06-15T00:00:00,2024-09-13T00:00:00,all,20,0.03,0.559847,3.209,0.097925,0.1926,0.0,0.0,-0.419785,0.979631,0.0,540,0.059291,0
10,2024-06-15T00:00:00,2024-09-13T00:00:00,all,40,0.0,0.366036,2.0882,0.136112,0.1981,0.0,0.0,-0.419785,0.785821,0.0,540,0.0564,0
10,2024-06-15T00:00:00,2024-09-13T00:00:00,all,40,0.03,0.344175,2.105,0.164065,0.163,0.0,0.0,-0.419785,0.76396,0.0,540,0.057456,0
11,2024-09-13T00:00:00,2024-12-12T00:00:00,all,20,0.0,0.824536,3.6728,0.116452,0.3111,0.0,0.0,3.013609,-2.189073,0.0,540,0.055599,0
11,2024-09-13T00:00:00,2024-12-12T00:00:00,all,20,0.03,1.160959,4.8733,0.106302,0.2926,0.0,0.0,3.013609,-1.85265,0.0,540,0.057558,0
11,2024-09-13T00:00:00,2024-12-12T00:00:00,all,40,0.0,0.595902,2.8012,0.141689,0.2722,0.0,0.0,3.013609,-2.417706,0.0,540,0.054707,0
11,2024-09-13T00:00:00,2024-12-12T00:00:00,all,40,0.03,0.549796,2.4955,0.142145,0.2574,0.0,0.0,3.013609,-2.463813,0.0,540,0.056146,0
12,2024-12-12T00:00:00,2025-03-12T00:00:00,all,20,0.0,0.636153,2.5757,0.220035,0.2,0.0,0.0,-1.604262,2.240416,0.0,540,0.056874,0
12,2024-12-12T00:00:00,2025-03-12T00:00:00,all,20,0.03,0.705492,2.9408,0.220035,0.1593,0.0,0.0,-1.604262,2.309755,0.0,540,0.062411,0
12,2024-12-12T00:00:00,2025-03-12T00:00:00,all,40,0.0,0.578861,2.4839,0.13065,0.1907,0.0,0.0,-1.604262,2.183123,0.0,540,0.059189,0
12,2024-12-12T00:00:00,2025-03-12T00:00:00,all,40,0.03,0.615701,2.7713,0.139097,0.1444,0.0,0.0,-1.604262,2.219963,0.0,540,0.063731,0
13,2025-03-12T00:00:00,2025-06-10T00:00:00,all,20,0.0,0.780711,4.0744,0.090946,0.2611,0.0,0.0,0.942017,-0.161306,0.0,540,0.054117,0
13,2025-03-12T00:00:00,2025-06-10T00:00:00,all,20,0.03,0.707057,4.0917,0.08022,0.187,0.0,0.0,0.942017,-0.23496,0.0,540,0.057187,0
13,2025-03-12T00:00:00,2025-06-10T00:00:00,all,40,0.0,0.529712,3.223,0.132834,0.2296,0.0,0.0,0.942017,-0.412305,0.0,540,0.053635,0
13,2025-03-12T00:00:00,2025-06-10T00:00:00,all,40,0.03,0.536485,3.2746,0.132834,0.1944,0.0,0.0,0.942017,-0.405531,0.0,540,0.055671,0
